t,x1,y1,x2,y2,segmentationfailed
242,3329.1596689224243,3649.5826873779297,3332.340311050415,3645.917320251465,1
242,3329.3409729003906,3647.9170989990234,3332.159023284912,3647.5829010009766,1
242,3329.4150533676147,3617.6357917785645,3330.707799911499,3617.7379417419434,1
242,3329.5127115249634,3679.331214904785,3330.5127115249634,3679.331214904785,1
242,3329.958769798279,3668.7395095825195,3330.6858434677124,3668.662551879883,1
242,3329.9694328308105,3680.075927734375,3330.960675239563,3680.077362060547,1
242,3329.987066268921,3678.168914794922,3330.9870643615723,3678.1689071655273,1
242,3330.110753059387,3642.610595703125,3331.1107540130615,3643.6105880737305,1
242,3330.2347164154053,3647.177085876465,3331.2338256835938,3648.1526641845703,1
242,3330.2347164154053,3647.177085876465,3331.2338256835938,3648.1526641845703,1
242,3330.3284845352173,3640.988136291504,3331.3283367156982,3641.9881591796875,1
242,3331.1054363250732,3651.6324768066406,3331.7966346740723,3653.348258972168,1
242,3331.159023284912,3646.5829010009766,3332.159023284912,3647.5829010009766,1
242,3331.296474456787,3590.996509552002,3327.296474456787,3591.996509552002,1
242,3331.303804397583,3625.998435974121,3332.3032550811768,3625.997703552246,1
242,3331.340311050415,3644.917320251465,3332.340311050415,3645.917320251465,1
242,3331.4194164276123,3592.310260772705,3333.3715438842773,3592.3108711242676,1
242,3331.7513370513916,3679.167594909668,3332.479066848755,3679.238983154297,1
242,3331.987112045288,3677.168899536133,3330.9870643615723,3678.1689071655273,1
242,3332.0946159362793,3644.4958572387695,3333.094623565674,3645.4955139160156,1
242,3333.512928009033,3677.3309478759766,3332.512928009033,3678.3309478759766,1
242,3334.21608543396,3651.671714782715,3335.3051052093506,3650.8499298095703,1
242,3334.6051025390625,3653.322280883789,3335.605499267578,3653.3230056762695,1
242,3335.1946411132812,3650.64111328125,3335.3051052093506,3650.8499298095703,1
242,3335.814796447754,3649.9534072875977,3335.3051052093506,3650.8499298095703,1
242,3336.0335521698,3654.0520782470703,3336.978006362915,3654.052703857422,1
242,3336.666311264038,3672.0728149414062,3336.011438369751,3673.0706939697266,1
242,3337.945920944214,3586.922920227051,3338.734296798706,3586.8256969451904,1
242,3338.333200454712,3675.052574157715,3339.1171016693115,3675.0024490356445,1
242,3338.704969406128,3673.444725036621,3339.1171016693115,3675.0024490356445,1
242,3338.9376316070557,3587.9432525634766,3339.9429721832275,3587.937536239624,1
242,3339.304454803467,3624.9985122680664,3340.303451538086,3624.9979858398438,1
242,3341.2964725494385,3652.996513366699,3342.2964763641357,3652.996513366699,1
242,3341.529026031494,3654.3042373657227,3343.158311843872,3654.343147277832,1
242,3342.4880447387695,3580.0002460479736,3343.486234664917,3580.0023612976074,1
242,3342.9655799865723,3687.134750366211,3343.9867630004883,3687.147994995117,1
242,3343.1689414978027,3681.5128784179688,3344.1689414978027,3682.5128784179688,1
242,3343.2425479888916,3669.7881393432617,3344.2788734436035,3670.1637268066406,1
242,3343.6697883605957,3619.049083709717,3345.053123474121,3619.0670051574707,1
242,3344.324354171753,3681.990020751953,3344.324354171753,3680.990020751953,1
242,3345.5622367858887,3583.943244934082,3339.9429721832275,3587.937536239624,1
242,3346.18172454834,3680.508689880371,3347.181541442871,3681.5087127685547,1
242,3346.4226970672607,3654.6137771606445,3346.2940769195557,3654.829002380371,1
242,3347.2698364257812,3652.004249572754,3348.238742828369,3651.9996337890625,1
242,3347.337734222412,3675.9194107055664,3348.337257385254,3676.919692993164,1
242,3350.251926422119,3684.263870239258,3350.384696960449,3684.042037963867,1
242,3351.9464149475098,3670.6632080078125,3352.982666015625,3672.900260925293,1
242,3352.159412384033,3661.917236328125,3353.16215133667,3661.918785095215,1
242,3354.099922180176,3677.549140930176,3354.126163482666,3672.553581237793,1
242,3354.1274490356445,3655.8904724121094,3354.804386138916,3654.6108627319336,1
242,3358.8539657592773,3653.8884048461914,3359.227039337158,3652.7160568237305,1
242,3358.9462966918945,3662.6403579711914,3359.1625900268555,3661.6334533691406,1
242,3369.1576652526855,3599.5839462280273,3370.1576652526855,3601.5839462280273,1
244,3316.423872947693,3660.6810607910156,3316.4539320468903,3661.635238647461,1
244,3317.119089603424,3640.9501953125,3317.119042158127,3640.950050354004,1
244,3318.1869554519653,3642.1504135131836,3318.139588356018,3641.9825744628906,1
244,3318.2932987213135,3630.6458129882812,3318.3112745285034,3630.6425857543945,1
244,3318.465022087097,3687.047721862793,3318.5068044662476,3687.176773071289,1
244,3318.903808116913,3686.3456420898438,3318.6871194839478,3686.133888244629,1
244,3318.916660785675,3629.15860748291,3318.916660785675,3629.15860748291,1
244,3318.9658069610596,3688.3167037963867,3318.964193344116,3688.319061279297,1
244,3320.2964901924133,3600.996513366699,3320.2964901924133,3600.996513366699,1
244,3320.5839309692383,3629.3416137695312,3320.583924293518,3629.341598510742,1
244,3321.081603527069,3630.177619934082,3321.0190143585205,3630.1835021972656,1
244,3321.814371109009,3687.4514923095703,3321.82709980011,3687.465476989746,1
244,3322.105644226074,3681.0814895629883,3321.915289402008,3681.158332824707,1
244,3322.4886569976807,3639.6137313842773,3322.3300132751465,3639.534278869629,1
244,3322.491003036499,3642.9134826660156,3321.7826976776123,3643.0687103271484,1
244,3325.3030347824097,3686.186737060547,3324.6684713363647,3686.205726623535,1
244,3325.589479446411,3688.500946044922,3325.0532836914062,3688.4927825927734,1
244,3325.675492286682,3689.0237731933594,3325.0840253829956,3689.0393600463867,1
244,3326.0672521591187,3644.882537841797,3326.0591802597046,3644.9928283691406,1
244,3326.2748708724976,3636.1467819213867,3325.968183517456,3635.9799575805664,1
244,3326.2748708724976,3636.1467819213867,3325.968183517456,3635.9799575805664,1
244,3326.296474456787,3599.996509552002,3326.296474456787,3599.996509552002,1
244,3326.8984203338623,3646.2472381591797,3327.0210485458374,3646.834785461426,1
244,3327.136155128479,3648.567054748535,3327.1562728881836,3649.57430267334,1
244,3327.1797199249268,3654.3205795288086,3327.164610862732,3655.292495727539,1
244,3328.5162286758423,3682.3327407836914,3328.5137662887573,3682.333854675293,1
244,3329.1138286590576,3651.3646850585938,3329.214246749878,3652.0438537597656,1
244,3329.1138286590576,3651.3646850585938,3328.7986936569214,3650.1503143310547,1
244,3329.1576776504517,3663.5838775634766,3329.157660484314,3663.583885192871,1
244,3329.5127115249634,3687.331214904785,3328.5127182006836,3687.3312225341797,1
244,3329.6858434677124,3676.662551879883,3328.8832359313965,3675.6310653686523,1
244,3329.6858434677124,3676.662551879883,3328.8832359313965,3675.6310653686523,1
244,3329.707799911499,3625.7379417419434,3328.2772216796875,3625.751750946045,1
244,3329.960675239563,3688.077362060547,3328.971333503723,3688.076484680176,1
244,3329.9870643615723,3686.1689071655273,3328.987051963806,3686.168914794922,1
244,3330.2338256835938,3656.1526641845703,3330.2279891967773,3657.0745239257812,1
244,3330.3283367156982,3649.9881591796875,3330.328498840332,3649.988121032715,1
244,3330.7966346740723,3661.348258972168,3331.1351146698,3662.1339721679688,1
244,3331.062038421631,3665.35604095459,3331.0484142303467,3666.1944427490234,1
244,3331.159023284912,3655.5829010009766,3328.3409729003906,3652.9170989990234,1
244,3331.3032550811768,3633.997703552246,3331.3040523529053,3633.9984436035156,1
244,3331.479066848755,3687.238983154297,3330.7495307922363,3687.1686248779297,1
244,3331.512928009033,3686.3309478759766,3332.512928009033,3685.3309478759766,1
244,3332.094623565674,3653.4955139160156,3332.0960178375244,3654.2383575439453,1
